Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
1,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,404021,2014-12-24T17:49:19Z,37464
2,free-programming-books,https://github.com/EbookFoundation/free-programming-books,336245,2013-10-11T06:50:37Z,10160
3,awesome,https://github.com/sindresorhus/awesome,328631,2014-07-11T13:42:37Z,2024
4,public-apis,https://github.com/public-apis/public-apis,315352,2016-03-20T23:49:42Z,2921
5,coding-interview-university,https://github.com/jwasham/coding-interview-university,305619,2016-06-06T02:34:12Z,993
6,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,304251,2018-05-09T12:03:18Z,265
7,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,294388,2017-03-15T13:45:52Z,4396
8,system-design-primer,https://github.com/donnemartin/system-design-primer,272463,2017-02-26T16:15:28Z,318
9,996.ICU,https://github.com/996icu/996.ICU,269759,2019-03-26T07:31:14Z,1984
10,react,https://github.com/facebook/react,228309,2013-05-24T16:15:54Z,16067
11,awesome-python,https://github.com/vinta/awesome-python,221568,2014-06-27T21:00:06Z,1533
12,vue,https://github.com/vuejs/vue,207816,2013-07-29T03:24:51Z,2301
13,project-based-learning,https://github.com/practical-tutorials/project-based-learning,200755,2017-04-12T05:07:46Z,344
14,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,198669,2015-06-01T02:33:17Z,3036
15,Python,https://github.com/TheAlgorithms/Python,191394,2016-07-16T09:44:01Z,9699
16,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,187866,2018-03-24T07:47:04Z,536
17,tensorflow,https://github.com/tensorflow/tensorflow,186030,2015-11-07T01:19:20Z,33533
18,linux,https://github.com/torvalds/linux,180339,2011-09-04T22:48:12Z,533
19,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,179429,2013-11-16T02:37:24Z,845
20,CS-Notes,https://github.com/CyC2018/CS-Notes,175296,2018-02-13T14:56:24Z,552
21,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,173178,2009-08-28T18:15:37Z,7075
22,computer-science,https://github.com/ossu/computer-science,171300,2014-05-04T00:18:39Z,440
23,bootstrap,https://github.com/twbs/bootstrap,170433,2011-07-29T21:19:00Z,15209
24,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,167505,2023-03-16T09:21:07Z,4386
25,flutter,https://github.com/flutter/flutter,165445,2015-03-06T22:54:58Z,56195
26,vscode,https://github.com/microsoft/vscode,163415,2015-09-03T20:23:38Z,32936
27,gitignore,https://github.com/github/gitignore,161732,2010-11-08T20:17:14Z,3953
28,Python-100-Days,https://github.com/jackfrued/Python-100-Days,155663,2018-03-01T16:05:52Z,152
