Index,Título do PR,URL,Data de Criação,Data de Fechamento,Total de Revisões,Decisão da Revisão,Total de Adições,Total de Remoções,Total de Arquivos Alterados,Comprimento da Descrição,Tempo de Análise (horas),Total de Comentários,Total de Participantes
1,Add AirBnB setting to jshint settings file.,https://github.com/freeCodeCamp/freeCodeCamp/pull/2,2014-12-24T20:43:10Z,2014-12-27T06:16:17Z,0,MERGED,100,1,2,0,57.551944444444445,2,3
2,Refactor Passport/update FCC link,https://github.com/freeCodeCamp/freeCodeCamp/pull/7,2014-12-31T05:35:50Z,2015-01-20T17:29:39Z,0,MERGED,51,42,2,160,491.89694444444444,0,1
3,Update Branden's Team Member Bio,https://github.com/freeCodeCamp/freeCodeCamp/pull/10,2015-01-09T15:55:49Z,2015-01-09T18:58:45Z,0,MERGED,2,2,1,343,3.048888888888889,0,2
4,Pull request twitter pic,https://github.com/freeCodeCamp/freeCodeCamp/pull/12,2015-01-09T20:25:01Z,2015-01-10T04:33:39Z,0,MERGED,2,2,1,413,8.143888888888888,1,2
5,Angularize login,https://github.com/freeCodeCamp/freeCodeCamp/pull/13,2015-01-10T03:10:26Z,2015-01-10T04:31:13Z,0,MERGED,461,433,10,121,1.3463888888888889,0,1
6,Forgot password,https://github.com/freeCodeCamp/freeCodeCamp/pull/16,2015-01-10T05:23:28Z,2015-01-10T18:56:01Z,0,MERGED,3,3,1,0,13.5425,1,2
7,Edit wording of jquery exercises,https://github.com/freeCodeCamp/freeCodeCamp/pull/21,2015-01-12T19:31:28Z,2015-01-13T06:12:42Z,0,MERGED,4,4,1,353,10.687222222222223,1,2
8,Twitter auth,https://github.com/freeCodeCamp/freeCodeCamp/pull/33,2015-01-17T22:46:48Z,2015-01-18T01:31:40Z,0,MERGED,84485,194,413,122,2.747777777777778,1,1
9,One column challenges,https://github.com/freeCodeCamp/freeCodeCamp/pull/34,2015-01-18T00:50:02Z,2015-01-18T02:53:49Z,0,MERGED,84661,295,424,0,2.0630555555555556,0,2
10,Twitter auth and bonfire,https://github.com/freeCodeCamp/freeCodeCamp/pull/36,2015-01-18T01:37:40Z,2015-01-18T02:53:26Z,0,MERGED,84485,194,413,44,1.2627777777777778,0,2
11,Update main.less,https://github.com/freeCodeCamp/freeCodeCamp/pull/38,2015-01-18T04:04:45Z,2015-01-21T15:25:26Z,0,MERGED,3,2,1,43,83.34472222222222,1,3
12,Adding testing feature to bonfire,https://github.com/freeCodeCamp/freeCodeCamp/pull/39,2015-01-18T07:59:04Z,2015-01-21T06:50:47Z,0,MERGED,5049,4,3,952,70.86194444444445,1,1
