Index,Título do PR,URL,Data de Criação,Data de Fechamento,Total de Revisões,Decisão da Revisão,Total de Adições,Total de Remoções,Total de Arquivos Alterados,Comprimento da Descrição,Tempo de Análise (horas),Total de Comentários,Total de Participantes
1,Fixed typo,https://github.com/jwasham/coding-interview-university/pull/3,2016-10-06T10:08:17Z,2016-10-06T16:40:31Z,1,MERGED,1,1,1,0,6.537222222222222,0,3
2,License.md Added,https://github.com/jwasham/coding-interview-university/pull/6,2016-10-06T15:49:06Z,2016-10-06T21:20:55Z,1,MERGED,21,0,1,0,5.530277777777778,1,3
3,Adding more descriptive links.,https://github.com/jwasham/coding-interview-university/pull/9,2016-10-06T19:24:59Z,2016-10-06T21:25:38Z,1,MERGED,87,102,1,116,2.0108333333333333,5,3
4,Pull request with fixed mis-formatted & Go resources,https://github.com/jwasham/coding-interview-university/pull/23,2016-10-09T01:36:16Z,2016-10-09T03:32:02Z,1,MERGED,10,1,2,39,1.9294444444444445,1,3
5,Add a tutorial on Udemy.,https://github.com/jwasham/coding-interview-university/pull/38,2016-10-15T16:08:41Z,2016-10-16T02:17:14Z,2,MERGED,3,0,1,153,10.1425,2,2
1,readme: Add my tutorial on shell,https://github.com/codecrafters-io/build-your-own-x/pull/10,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,3,MERGED,1,0,1,193,21.7775,1,2
2,Add: Generate SVG images in C,https://github.com/codecrafters-io/build-your-own-x/pull/16,2018-05-12T08:21:04Z,2018-05-13T10:53:26Z,1,MERGED,1,0,1,0,26.539444444444445,1,2
3,"Add ""Build your own Window Manager""",https://github.com/codecrafters-io/build-your-own-x/pull/35,2018-05-13T14:44:31Z,2018-05-14T06:51:54Z,1,MERGED,1,0,1,0,16.123055555555556,1,2
4,added 'Build your own CI server' title & one item,https://github.com/codecrafters-io/build-your-own-x/pull/59,2018-05-14T14:37:35Z,2018-05-15T13:35:32Z,3,MERGED,1,0,1,74,22.965833333333332,1,2
5,Update README.md,https://github.com/codecrafters-io/build-your-own-x/pull/63,2018-05-14T17:30:12Z,2018-05-14T18:55:00Z,2,MERGED,2,1,1,19,1.4133333333333333,1,2
6,Added a New Category : Text Editor,https://github.com/codecrafters-io/build-your-own-x/pull/137,2018-05-24T05:49:20Z,2018-05-24T09:21:06Z,1,MERGED,9,1,1,108,3.5294444444444446,1,3
1,Fix some issues,https://github.com/kamranahmedse/developer-roadmap/pull/25,2017-03-19T13:32:51Z,2017-03-23T05:14:20Z,1,MERGED,2,2,2,141,87.6913888888889,2,4
1,Fix typo in Study Guide section,https://github.com/donnemartin/system-design-primer/pull/10,2017-03-09T10:50:34Z,2017-03-10T00:36:12Z,1,MERGED,2,2,1,78,13.760555555555555,1,2
2,Fix typo - lobsided -> lopsided,https://github.com/donnemartin/system-design-primer/pull/11,2017-03-09T14:21:29Z,2017-03-10T00:37:40Z,1,MERGED,1,1,1,0,10.269722222222223,1,2
3,Add Dyn DDoS attack link,https://github.com/donnemartin/system-design-primer/pull/13,2017-03-10T04:30:56Z,2017-03-11T02:07:51Z,1,MERGED,1,1,1,4,21.615277777777777,1,2
4,Fix multiple typos,https://github.com/donnemartin/system-design-primer/pull/14,2017-03-10T07:53:56Z,2017-03-11T02:06:35Z,1,MERGED,8,8,1,0,18.210833333333333,1,3
5,Fix #6: Migrate links from exercises/solutions to use internal links,https://github.com/donnemartin/system-design-primer/pull/23,2017-03-16T22:49:05Z,2017-03-19T19:23:03Z,1,MERGED,35,35,8,225,68.56611111111111,2,2
6,"Delete duplicate word ""does"" in design exercises",https://github.com/donnemartin/system-design-primer/pull/24,2017-03-18T04:17:42Z,2017-03-18T15:37:17Z,1,MERGED,3,3,3,0,11.32638888888889,1,2
7,Fix typo JSS -> JS,https://github.com/donnemartin/system-design-primer/pull/25,2017-03-18T16:45:40Z,2017-03-19T19:24:13Z,1,MERGED,1,1,1,35,26.6425,1,2
