Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
1,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,403787,2014-12-24T17:49:19Z,37430
2,free-programming-books,https://github.com/EbookFoundation/free-programming-books,336003,2013-10-11T06:50:37Z,10096
3,awesome,https://github.com/sindresorhus/awesome,328078,2014-07-11T13:42:37Z,2024
4,public-apis,https://github.com/public-apis/public-apis,314240,2016-03-20T23:49:42Z,2921
5,coding-interview-university,https://github.com/jwasham/coding-interview-university,305455,2016-06-06T02:34:12Z,993
6,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,303857,2018-05-09T12:03:18Z,264
7,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,294054,2017-03-15T13:45:52Z,4371
8,system-design-primer,https://github.com/donnemartin/system-design-primer,272167,2017-02-26T16:15:28Z,317
9,996.ICU,https://github.com/996icu/996.ICU,269732,2019-03-26T07:31:14Z,1984
10,react,https://github.com/facebook/react,228204,2013-05-24T16:15:54Z,16046
11,awesome-python,https://github.com/vinta/awesome-python,221155,2014-06-27T21:00:06Z,1531
12,vue,https://github.com/vuejs/vue,207780,2013-07-29T03:24:51Z,2300
13,project-based-learning,https://github.com/practical-tutorials/project-based-learning,200223,2017-04-12T05:07:46Z,344
14,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,198151,2015-06-01T02:33:17Z,3036
15,Python,https://github.com/TheAlgorithms/Python,190920,2016-07-16T09:44:01Z,9638
16,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,187774,2018-03-24T07:47:04Z,536
17,tensorflow,https://github.com/tensorflow/tensorflow,185904,2015-11-07T01:19:20Z,33355
18,linux,https://github.com/torvalds/linux,180064,2011-09-04T22:48:12Z,532
19,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,179371,2013-11-16T02:37:24Z,845
20,CS-Notes,https://github.com/CyC2018/CS-Notes,175077,2018-02-13T14:56:24Z,552
21,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,173074,2009-08-28T18:15:37Z,7072
22,computer-science,https://github.com/ossu/computer-science,170912,2014-05-04T00:18:39Z,440
23,bootstrap,https://github.com/twbs/bootstrap,170406,2011-07-29T21:19:00Z,15205
24,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,167391,2023-03-16T09:21:07Z,4380
25,flutter,https://github.com/flutter/flutter,165379,2015-03-06T22:54:58Z,56138
26,vscode,https://github.com/microsoft/vscode,163317,2015-09-03T20:23:38Z,32864
27,gitignore,https://github.com/github/gitignore,161634,2010-11-08T20:17:14Z,3953
