Index,Nome do Repositório,URL,Total de Estrelas,Data de Criação,Total de PRs
1,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,403302,24/12/2014 17:49:19,37317
2,free-programming-books,https://github.com/EbookFoundation/free-programming-books,335340,11/10/2013 06:50:37,9988
3,awesome,https://github.com/sindresorhus/awesome,327191,11/07/2014 13:42:37,2024
4,public-apis,https://github.com/public-apis/public-apis,313520,20/03/2016 23:49:42,2918
5,coding-interview-university,https://github.com/jwasham/coding-interview-university,305137,06/06/2016 02:34:12,993
6,build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,303068,09/05/2018 12:03:18,263
7,developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,293533,15/03/2017 13:45:52,4299
8,system-design-primer,https://github.com/donnemartin/system-design-primer,271328,26/02/2017 16:15:28,317
9,996.ICU,https://github.com/996icu/996.ICU,269722,26/03/2019 07:31:14,1984
10,react,https://github.com/facebook/react,228001,24/05/2013 16:15:54,15996
11,awesome-python,https://github.com/vinta/awesome-python,220443,27/06/2014 21:00:06,1531
12,vue,https://github.com/vuejs/vue,207740,29/07/2013 03:24:51,2298
13,project-based-learning,https://github.com/practical-tutorials/project-based-learning,199291,12/04/2017 05:07:46,341
14,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,197157,01/06/2015 02:33:17,3036
15,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,187658,24/03/2018 07:47:04,535
16,tensorflow,https://github.com/tensorflow/tensorflow,185815,07/11/2015 01:19:20,33103
17,Python,https://github.com/TheAlgorithms/Python,184974,16/07/2016 09:44:01,9510
18,linux,https://github.com/torvalds/linux,179662,04/09/2011 22:48:12,529
19,You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,179278,16/11/2013 02:37:24,845
20,CS-Notes,https://github.com/CyC2018/CS-Notes,175013,13/02/2018 14:56:24,552
